CASE_ID|CATEGORY|TITLE|TABLES|COLUMNS|DESCRIPTION|SQL_HINT|LEARNED_FROM
BC011|Employee|Employee Address (HR Type)|SPRADDR|SPRADDR_STAT_CODE,SPRADDR_ATYP_CODE='HR'|For employee addresses, use ATYP_CODE='HR' (Human Resources). DO NOT use 'MA' (Mailing) or 'RE' (Residential) — those are STUDENT address types in Banner. The PWVEMPL view also provides state via PWVEMPL_MAIL_STATE (hardcoded to HR atyp, pulls max active address).|ATYP_CODE = 'HR' for employees, NOT 'MA' or 'RE'|Danielle (HR/IT), Mar 5 2026
BC012|Employee|Hire Date — First vs Current|PEBEMPL|PEBEMPL_FIRST_HIRE_DATE,PEBEMPL_CURRENT_HIRE_DATE|Use PEBEMPL_FIRST_HIRE_DATE for employee hire date, NOT PEBEMPL_CURRENT_HIRE_DATE. Current hire date reflects rehires or position changes. First hire date is the original employment date needed for tax reporting and ADP.|PEBEMPL_FIRST_HIRE_DATE is correct for ADP/tax reporting|Danielle (HR/IT), Mar 5 2026
BC013|Employee|Employee State Assignment|PWVEMPL|PWVEMPL_MAIL_STATE|PXRW2ST is NOT reliable for state assignment (not up to date, not everyone has a record). Use PWVEMPL_MAIL_STATE view instead — it's hardcoded to HR address type and pulls the max active address. This replaced PXRW2ST entirely for the ADP integration.|PWVEMPL_MAIL_STATE replaces PXRW2ST for state determination|Danielle (HR/IT), Mar 5 2026
BC014|Employee|W-4 Filing Status (Marital Status)|PDRDEDN|PDRDEDN_OPT_CODE1,PDRDEDN_BDCA_CODE='FED',PDRDEDN_STATUS='A',PDRDEDN_EFFECTIVE_DATE|W-4 filing status comes from PDRDEDN_OPT_CODE1 on the FED deduction code. Must be active (STATUS='A') with max effective date (subquery required). Values: S=Single, M=Married, H=Head of Household, MS=Married Filing Single. Do NOT just ORDER BY date — use a subquery for max effective date on the same PIDM+BDCA_CODE.|Subquery: MAX(EFFECTIVE_DATE) WHERE PIDM=b.PIDM AND BDCA_CODE=b.BDCA_CODE|Danielle (HR/IT), Mar 2026
BC015|Payroll Tax|State Unemployment Insurance (SUI) Wages|PHRHIST,PHRDEDN,PTRCALN|PHRHIST_GROSS,PHRDEDN_APPLICABLE_GROSS|SUI wages come from PHRHIST_GROSS (not PHRDEDN for SUI). Annual wage caps apply by state: IL=$13,271, MI=$9,500, NY=$12,500 (2025). WCC is a REIMBURSABLE employer for Illinois (pays claims directly, doesn't pay SUI tax rate). IL SUI exempt flag = 'Y' in ADP file. MI and NY are standard (flag = 'N').|SUI uses PHRHIST_GROSS with annual per-employee caps|Michele Kellen, Feb 13 2026
BC016|Payroll Tax|Employer Tax Amounts|PHRDEDN|PHRDEDN_EMPLOYER_AMT|For Medicare (FIM) and Social Security (FIO), Banner stores both employee AND employer tax amounts in the SAME deduction record. PHRDEDN_EMPLOYEE_AMT = EE portion, PHRDEDN_EMPLOYER_AMT = ER portion. Federal (FED) and State (ILL/MCH/NYT) have EMPLOYER_AMT = 0 (employee-only taxes).|SUM(PHRDEDN_EMPLOYER_AMT) for ER tax records|ADP validation meeting, Mar 12 2026
BC017|Employee|W-2 Box 12 Supplemental Data|PHRDEDN,PTRBDCA|PHRDEDN_BDCA_CODE,PHRDEDN_EMPLOYEE_AMT,PHRDEDN_EMPLOYER_AMT|W-2 Box 12 codes map Banner deduction codes to IRS categories: AC1/AC2 (403b) = Code E, AC6/AC7 (457b) = Code G, AC8/AC9/AR2 (ROTH 457b) = Code EE, H01/H02 (HSA) = Code W (employer only), M01-M08 (Health PPO/HMO/HDHP) = Code DD (EE+ER combined). These are annual amounts, not quarterly.|403b=E, 457b=G, ROTH457b=EE, HSA=W, Health=DD|ADP spec + Michele Kellen, Feb 2026
BC018|Payroll Tax|PPRD vs PROD Data Sync Issues|PHRHIST,PHRDEDN|PHRHIST_ACTIVITY_DATE|Pre-Production (PPRD) is a snapshot of Production. Payroll adjustments made in PROD after the sync date will NOT appear in PPRD. This caused $1,068.26 (Q4) and $923.31 (Q1) discrepancies in ADP test files. PHRHIST_ACTIVITY_DATE reveals when a record was posted — if the activity date is after the PPRD sync, the record won't be in PPRD. ALWAYS generate production files from PROD read-only, not PPRD.|Compare PHRHIST_ACTIVITY_DATE to PPRD sync date to identify missing records|Investigation of Q4 discrepancy, Mar 18 2026
BC019|Payroll Tax|941 Report (PXRP941) Data Sources|PHRDEDN,PHRHIST,PTRCALN|Multiple|The Banner PXRP941 (Form 941 Detail Report) generates quarterly tax totals. Its primary data source is PHRDEDN joined to PHRHIST. However, there may be additional adjustment mechanisms (tax reporting adjustments, manual corrections) that the 941 captures but direct PHRDEDN queries miss. INVESTIGATION OPEN: $923.31 Q1 Medicare discrepancy suggests the 941 includes a data source we haven't identified yet.|OPEN ITEM: Need employee ID from Payroll to trace the specific adjustment|Investigation ongoing, Mar 25 2026
BC020|Payroll|Deduction Code Lookup|PTRBDCA|PTRBDCA_CODE,PTRBDCA_DESC|PTRBDCA is the master deduction/benefit code table. Contains all active and inactive codes. WCC had 55 active deduction codes in 2025. Use this to validate deduction codes and understand their purpose. Tax codes (FED, FIM, FIO, FIA, ILL, MCH, NYT) and benefit codes (S1R, S2G, S2R, AC1-AC9, H01-H02, M01-M08) are all in this table.|SELECT * FROM PTRBDCA WHERE PTRBDCA_CODE = 'FIM'|PHRHIST Quarterly Analysis, Feb 17 2026
BC021|Employee|Employee Demographics for Tax Reporting|SPRIDEN,SPBPERS,PEBEMPL,SPRADDR,PWVEMPL|SPRIDEN_ID,SPRIDEN_LAST_NAME,SPRIDEN_FIRST_NAME,SPBPERS_SSN,SPBPERS_SEX,PEBEMPL_FIRST_HIRE_DATE|ADP E-record requires: SSN (SPBPERS_SSN), name (SPRIDEN), gender (SPBPERS_SEX), hire date (PEBEMPL_FIRST_HIRE_DATE), term date (PEBEMPL_TERM_DATE), birth date (SPBPERS_BIRTH_DATE), address (SPRADDR with ATYP_CODE='HR'), state (PWVEMPL_MAIL_STATE). Use SPRIDEN_CHANGE_IND IS NULL for current name.|Always join SPRIDEN with CHANGE_IND IS NULL for current records|ADP SmartCompliance Integration 2026
BC022|Payroll Tax|W-2 Federal Data (Year-End)|PXRW2FD|PXRW2FD_YEAR,PXRW2FD_PIDM,PXRW2FD_RETIREMENT_PLAN_IND,PXRW2FD_STATUTORY_EMPLOYEE_IND,PXRW2FD_THIRD_PARTY_SICK_IND|PXRW2FD stores W-2 federal-level employee data generated during year-end processing. Contains retirement plan indicator, statutory employee flag, and third-party sick pay flag. 1,220 records for 2025. This is populated during the W-2 generation process, not during regular payroll.|Year-end generated data — not available during the year for quarterly reporting|Schema investigation, Mar 25 2026
BC023|Payroll|Banner Table Naming Conventions|Multiple|Multiple|Banner payroll tables follow naming patterns: PHR* = Payroll History (PHRHIST, PHRDEDN, PHREARN), PXR* = Tax Reporting (PXRW2FD, PXRW2ST, PXRP941), PTR* = Payroll Rules/Setup (PTRCALN, PTRBDCA), PEB* = Employment Base (PEBEMPL), PDR* = Deduction Rules (PDRDEDN), PWV* = Payroll Views (PWVEMPL). Understanding prefixes helps navigate the 6,700+ Banner tables.|PHR=history, PXR=tax reporting, PTR=rules, PEB=employment, PDR=deduction rules, PWV=views|BannerSemanticSearch tool analysis, Mar 2026
